id,source_id,spec_id,hero_talent_id,slot,item_id,priority
5537,8,6,,main_hand,1,1
5538,8,6,,head,2,1
5539,8,6,,neck,3,1
5540,8,6,,shoulder,4,1
5541,8,6,,back,5,1
5542,8,6,,chest,6,1
5543,8,6,,wrist,7,1
5544,8,6,,hands,8,1
5545,8,6,,waist,9,1
5546,8,6,,legs,10,1
5547,8,6,,feet,11,1
5548,8,6,,ring_1,12,1
5549,8,6,,ring_2,13,1
5550,8,6,,trinket_1,14,1
5551,8,6,,trinket_2,15,1
5552,7,6,,main_hand,1,1
5553,7,6,,head,2,1
5554,7,6,,neck,3,1
5555,7,6,,shoulder,4,1
5556,7,6,,back,5,1
5557,7,6,,chest,6,1
5558,7,6,,wrist,7,1
5559,7,6,,hands,8,1
5560,7,6,,waist,9,1
5561,7,6,,legs,10,1
5562,7,6,,feet,11,1
5563,7,6,,ring_1,27,1
5564,7,6,,ring_2,28,1
5565,7,6,,trinket_1,29,1
5566,7,6,,trinket_2,30,1
5567,3,6,,main_hand,1,1
5568,3,6,,head,2,1
5569,3,6,,neck,3,1
5570,3,6,,shoulder,4,1
5571,3,6,,back,5,1
5572,3,6,,chest,6,1
5573,3,6,,wrist,7,1
5574,3,6,,hands,8,1
5575,3,6,,waist,9,1
5576,3,6,,legs,10,1
5577,3,6,,feet,11,1
5578,3,6,,ring_1,27,1
5579,3,6,,ring_2,28,1
5580,3,6,,trinket_1,29,1
5581,3,6,,trinket_2,30,1
5582,8,25,,main_hand,46,1
5583,8,25,,head,2,1
5584,8,25,,neck,48,1
5585,8,25,,shoulder,49,1
5586,8,25,,back,50,1
5587,8,25,,chest,6,1
5588,8,25,,wrist,7,1
5589,8,25,,hands,53,1
5590,8,25,,waist,54,1
5591,8,25,,legs,10,1
5592,8,25,,feet,11,1
5593,8,25,,ring_1,57,1
5594,8,25,,ring_2,58,1
5595,8,25,,trinket_1,59,1
5596,8,25,,trinket_2,15,1
5597,7,25,,main_hand,61,1
5598,7,25,,head,2,1
5599,7,25,,neck,48,1
5600,7,25,,shoulder,49,1
5601,7,25,,back,50,1
5602,7,25,,chest,6,1
5603,7,25,,wrist,7,1
5604,7,25,,hands,53,1
5605,7,25,,waist,54,1
5606,7,25,,legs,10,1
5607,7,25,,feet,11,1
5608,7,25,,ring_1,57,1
5609,7,25,,ring_2,58,1
