id,item_id,blizzard_item_id,item_name,recipe_id,match_type,confidence
1,7,237834,Spellbreaker's Bracers,544269,exact_name,100
2,284,237840,Spellbreaker's Warglaive,517111,exact_name,100
3,50,239656,Adherent's Silken Shroud,988920,exact_name,100
4,144,244573,Silvermoon Agent's Utility Belt,1058600,exact_name,100
5,188,244576,Silvermoon Agent's Deflectors,909359,exact_name,100
6,857,244584,Farstrider's Plated Bracers,514283,exact_name,100
7,464,244575,Silvermoon Agent's Handwraps,909356,exact_name,100
8,380,245770,Aln'hara Cane,560655,exact_name,100
9,320,245769,Aln'hara Lantern,560656,exact_name,100
10,28,251513,Loa Worshiper's Band,859255,exact_name,100
11,2473,237831,Spellbreaker's Rebuke,544270,exact_name,100
12,2334,237845,Bloomforged Claw,866020,exact_name,100
13,2616,237839,Spellbreaker's Blade,527175,exact_name,100
14,2812,239664,Arcanoweave Cord,1113840,exact_name,100
15,16423,244748,Aetherlume Bands,534212,exact_name,100
16,1602,239660,Arcanoweave Bracers,1163224,exact_name,100
17,1602,239660,Arcanoweave Bracers,85952,exact_name,100
18,2005,240950,Masterwork Sin'dorei Amulet,542213,exact_name,100
19,1466,244577,Farstrider's Razor Talons,856502,exact_name,100
20,3680,244582,Farstrider's Reinforced Faulds,938728,exact_name,100
21,515,245771,Aln'hara Pikestaff,560654,exact_name,100
22,1514,237837,Farstrider's Mercy,527176,exact_name,100
23,2472,237843,Magister's Mana Sword,527173,exact_name,100
24,2757,237846,Blood Knight's Warblade,527171,exact_name,100
25,3687,237850,Farstrider's Chopper,583532,exact_name,100
26,1600,239661,Arcanoweave Cloak,941463,exact_name,100
27,3221,240949,Masterwork Sin'dorei Band,535030,exact_name,100
28,3219,244569,Silvermoon Agent's Sneakers,856493,exact_name,100
57,20229,45853,Rituals of the New Moon,73115,exact_name,100
58,18154,77530,Ghost Iron Dragonling,76708,exact_name,100
59,19939,190516,Obsidian Seared Crusher,12387,exact_name,100
60,19027,210816,Algari Alchemist Stone,10846,exact_name,100
61,17162,208237,Verdant Combatant's Jeweled Signet,22547,exact_name,100
62,16607,215137,Algari Competitor's Signet,3227,exact_name,100
63,17881,219331,Rune-Branded Waistband,124,exact_name,100
64,17499,215135,Ring of Earthen Craftsmanship,3225,exact_name,100
65,17482,215136,Amulet of Earthen Craftsmanship,2628,exact_name,100
66,18117,215134,Fractured Gemstone Locket,3224,exact_name,100
67,18745,215131,Malleable Pendant,470,exact_name,100
68,18754,215130,Malleable Band,469,exact_name,100
69,18092,219329,Rune-Branded Hood,121,exact_name,100
70,20276,222451,Charged Slicer,2021,exact_name,100
71,17506,222441,Everforged Warglaive,11881,exact_name,100
72,18573,222475,Dredger's Developed Helm,1829,exact_name,100
73,16671,219342,Glyph-Etched Vambraces,10314,exact_name,100
