id,item_id,blizzard_item_id,item_name,instance_type,encounter_name,instance_name,blizzard_instance_id,blizzard_encounter_id,is_suspected_junk
1,5537,250248,Mycolic Medicine,dungeon,The Hoardmonger,Den of Nalorakk,1311,2776,f
2,5538,251148,Pilfered Precious Band,dungeon,The Hoardmonger,Den of Nalorakk,1311,2776,f
3,5539,251147,Hoarded Harvest Wrap,dungeon,The Hoardmonger,Den of Nalorakk,1311,2776,f
4,5540,251146,Scavenger's Spaulders,dungeon,The Hoardmonger,Den of Nalorakk,1311,2776,f
5,5541,251145,Forgotten Tribe Footguards,dungeon,The Hoardmonger,Den of Nalorakk,1311,2776,f
6,5542,251144,Autumn's Boon Belt,dungeon,The Hoardmonger,Den of Nalorakk,1311,2776,f
7,5543,251143,Grim Harvest Gloves,dungeon,The Hoardmonger,Den of Nalorakk,1311,2776,f
8,5544,251154,Winter's Embrace Bracers,dungeon,Sentinel of Winter,Den of Nalorakk,1311,2777,f
9,5545,251153,Arctic Explorer's Legwraps,dungeon,Sentinel of Winter,Den of Nalorakk,1311,2777,f
10,5546,251152,Season's Turn Gauntlets,dungeon,Sentinel of Winter,Den of Nalorakk,1311,2777,f
11,5547,251155,Tribal Defender's Cord,dungeon,Sentinel of Winter,Den of Nalorakk,1311,2777,f
12,5548,251151,Sentinel Challenger's Prize,dungeon,Sentinel of Winter,Den of Nalorakk,1311,2777,f
13,5549,251150,Tempest's Shelter,dungeon,Sentinel of Winter,Den of Nalorakk,1311,2777,f
14,5550,251149,Victor's Flashfrozen Blade,dungeon,Sentinel of Winter,Den of Nalorakk,1311,2777,f
15,5551,250244,Permafrost Essence,dungeon,Sentinel of Winter,Den of Nalorakk,1311,2777,f
16,5552,256737,Formula: Enchant Chest - Mark of Nalorakk,dungeon,Nalorakk,Den of Nalorakk,1311,2778,f
17,5553,251160,Forest Dream Leg-guards,dungeon,Nalorakk,Den of Nalorakk,1311,2778,f
18,5554,250229,Idol of the War Loa,dungeon,Nalorakk,Den of Nalorakk,1311,2778,f
19,5555,251159,War Trial Vestments,dungeon,Nalorakk,Den of Nalorakk,1311,2778,f
20,5556,251158,Nalorakk's Nightmare,dungeon,Nalorakk,Den of Nalorakk,1311,2778,f
21,5557,251156,Fallen Speaker's Staff,dungeon,Nalorakk,Den of Nalorakk,1311,2778,f
22,5558,251173,Yoke of the Charging Bear,dungeon,Nalorakk,Den of Nalorakk,1311,2778,f
