id,source_id,spec_id,hero_talent_id,item_id,blizzard_item_id,item_name,tier,sort_order
2444,3,1,,5789,249805,Undreamt God's Oozing Vestige,A,0
2441,3,1,,29,249343,Gaze of the Alnseer,S,0
2450,3,1,,1335,250258,Vessel of Tortured Souls,B,0
2458,3,1,,5727,250226,Latch's Crooked Hook,C,0
2451,3,1,,5658,250241,Mark of Light,B,1
2445,3,1,,485,249806,Radiant Plume,A,1
2459,3,1,,14807,193719,Dragon Games Equipment,C,1
2442,3,1,,2570,249342,Heart of Ancient Hunger,S,1
2443,3,1,,30,249344,Light Company Guidon,S,2
2460,3,1,,2017,151307,Void Stalker's Contract,C,2
2446,3,1,,1349,260235,Umbral Plume,A,2
2452,3,1,,5733,250227,Kroluk's Warbanner,B,2
2461,3,1,,5703,250245,Tumor of the Swarm,C,3
2447,3,1,,14,250256,Heart of Wind,A,3
2453,3,1,,15,252420,Solarflare Prism,B,3
2454,3,1,,2059,249339,Gloom-Spattered Dreadscale,B,4
2448,3,1,,59,193701,Algeth'ar Puzzle Box,A,4
2462,3,1,,2016,151312,Ampoule of Pure Void,C,4
2463,3,1,,5615,250243,Manaheart's Binding Flame,C,5
2455,3,1,,5575,250242,Jelly Replicator,B,5
2449,3,1,,5893,249807,The Eternal Egg,A,5
2456,3,1,,9091,252421,Rotting Globule,B,6
2457,3,1,,12027,252418,Solar Core Igniter,B,7
1502,3,2,,29,249343,Gaze of the Alnseer,S,0
1519,3,2,,5727,250226,Latch's Crooked Hook,C,0
1511,3,2,,1335,250258,Vessel of Tortured Souls,B,0
1505,3,2,,5789,249805,Undreamt God's Oozing Vestige,A,0
1520,3,2,,14807,193719,Dragon Games Equipment,C,1
1506,3,2,,485,249806,Radiant Plume,A,1
1503,3,2,,2570,249342,Heart of Ancient Hunger,S,1
1512,3,2,,5658,250241,Mark of Light,B,1
1504,3,2,,30,249344,Light Company Guidon,S,2
1521,3,2,,2017,151307,Void Stalker's Contract,C,2
1513,3,2,,5733,250227,Kroluk's Warbanner,B,2
1507,3,2,,1349,260235,Umbral Plume,A,2
1522,3,2,,5703,250245,Tumor of the Swarm,C,3
1514,3,2,,15,252420,Solarflare Prism,B,3
1508,3,2,,14,250256,Heart of Wind,A,3
1523,3,2,,2016,151312,Ampoule of Pure Void,C,4
1515,3,2,,2059,249339,Gloom-Spattered Dreadscale,B,4
1509,3,2,,59,193701,Algeth'ar Puzzle Box,A,4
1510,3,2,,5893,249807,The Eternal Egg,A,5
1524,3,2,,5615,250243,Manaheart's Binding Flame,C,5
1516,3,2,,5575,250242,Jelly Replicator,B,5
1517,3,2,,9091,252421,Rotting Globule,B,6
1518,3,2,,12027,252418,Solar Core Igniter,B,7
1260,3,3,,5575,250242,Jelly Replicator,D,0
1241,3,3,,17046,251784,Sylvan Wakrapuku,B,0
1230,3,3,,485,249806,Radiant Plume,S,0
1252,3,3,,18400,251783,Lost Idol of the Hash'ey,C,0
