blizzard_item_id,name,icon_url,slot_type,armor_type,quality_track,has_tooltip
872,Rockslicer,https://wow.zamimg.com/images/wow/icons/medium/inv_throwingaxe_01.jpg,main_hand,,,yes
888,Naga Battle Gloves,https://wow.zamimg.com/images/wow/icons/medium/inv_gauntlets_13.jpg,hands,leather,,yes
983,Red Linen Sash,https://wow.zamimg.com/images/wow/icons/medium/inv_belt_43c.jpg,waist,cloth,,yes
1155,Rod of the Sleepwalker,https://wow.zamimg.com/images/wow/icons/medium/inv_staff_06.jpg,main_hand,,,yes
1156,Lavishly Jeweled Ring,https://wow.zamimg.com/images/wow/icons/medium/inv_jewelry_ring_09.jpg,ring_1,,,yes
1183,Elastic Wristguards,https://wow.zamimg.com/images/wow/icons/medium/inv_bracer_73.jpg,wrist,cloth,,yes
1292,Butcher's Cleaver,https://wow.zamimg.com/images/wow/icons/medium/inv_axe_23.jpg,main_hand,,,yes
1520,Troll Sweat,https://wow.zamimg.com/images/wow/icons/medium/inv_potion_15.jpg,other,,,yes
1929,Silk-Threaded Trousers,https://wow.zamimg.com/images/wow/icons/medium/inv_pants_02.jpg,legs,cloth,,yes
1930,Stonemason Cloak,https://wow.zamimg.com/images/wow/icons/medium/inv_misc_cape_11.jpg,back,,,yes
1934,Hogger's Trousers,https://wow.zamimg.com/images/wow/icons/medium/inv_pants_02.jpg,legs,leather,,yes
1937,Buzz Saw,https://wow.zamimg.com/images/wow/icons/medium/inv_sword_24.jpg,main_hand,,,yes
1945,Woodworking Gloves,https://wow.zamimg.com/images/wow/icons/medium/inv_gauntlets_21.jpg,hands,leather,,yes
1959,Cold Iron Pick,https://wow.zamimg.com/images/wow/icons/medium/inv_pick_01.jpg,main_hand,,,yes
2168,Corpse Rompers,https://wow.zamimg.com/images/wow/icons/medium/inv_boots_03.jpg,feet,cloth,,yes
2169,Buzzer Blade,https://wow.zamimg.com/images/wow/icons/medium/inv_weapon_shortblade_05.jpg,main_hand,,,yes
3078,Naga Heartpiercer,https://wow.zamimg.com/images/wow/icons/medium/inv_weapon_bow_04.jpg,main_hand,,,yes
3191,Arced War Axe,https://wow.zamimg.com/images/wow/icons/medium/inv_axe_06.jpg,main_hand,,,yes
3230,Black Wolf Bracers,https://wow.zamimg.com/images/wow/icons/medium/inv_bracer_07.jpg,wrist,leather,,yes
3748,Feline Mantle,https://wow.zamimg.com/images/wow/icons/medium/inv_shoulder_05.jpg,shoulder,cloth,,yes
4676,Skeletal Gauntlets,https://wow.zamimg.com/images/wow/icons/medium/inv_gauntlets_03.jpg,hands,plate,,yes
4690,Hunting Belt,https://wow.zamimg.com/images/wow/icons/medium/inv_belt_21.jpg,waist,leather,,yes
5187,Foe Reaper,https://wow.zamimg.com/images/wow/icons/medium/inv_hammer_09.jpg,main_hand,,,yes
5191,Cruel Barb,https://wow.zamimg.com/images/wow/icons/medium/inv_sword_24.jpg,main_hand,,,yes
5192,Thief's Blade,https://wow.zamimg.com/images/wow/icons/medium/inv_sword_24.jpg,main_hand,,,yes
5193,Cape of the Brotherhood,https://wow.zamimg.com/images/wow/icons/medium/inv_misc_cape_08.jpg,back,,,yes
5194,Taskmaster Axe,https://wow.zamimg.com/images/wow/icons/medium/inv_throwingaxe_06.jpg,main_hand,,,yes
5195,Gold-Flecked Gloves,https://wow.zamimg.com/images/wow/icons/medium/inv_gauntlets_23.jpg,hands,cloth,,yes
5196,Smite's Reaver,https://wow.zamimg.com/images/wow/icons/medium/inv_axe_22.jpg,main_hand,,,yes
5197,Cookie's Tenderizer,https://wow.zamimg.com/images/wow/icons/medium/inv_fabric_silk_02.jpg,main_hand,,,yes
5198,Cookie's Stirring Rod,https://wow.zamimg.com/images/wow/icons/medium/inv_staff_02.jpg,main_hand,,,yes
5199,Smelting Pants,https://wow.zamimg.com/images/wow/icons/medium/inv_pants_02.jpg,legs,leather,,yes
5200,Impaling Harpoon,https://wow.zamimg.com/images/wow/icons/medium/inv_spear_07.jpg,main_hand,,,yes
5201,Emberstone Staff,https://wow.zamimg.com/images/wow/icons/medium/inv_staff_13.jpg,main_hand,,,yes
5202,Corsair's Overshirt,https://wow.zamimg.com/images/wow/icons/medium/inv_shirt_08.jpg,chest,cloth,,yes
5254,Rugged Spaulders,https://wow.zamimg.com/images/wow/icons/medium/inv_shoulder_08.jpg,shoulder,leather,,yes
5404,Serpent's Shoulders,https://wow.zamimg.com/images/wow/icons/medium/inv_shoulder_08.jpg,shoulder,leather,,yes
5443,Gold-Plated Buckler,https://wow.zamimg.com/images/wow/icons/medium/inv_shield_02.jpg,off_hand,,,yes
5444,Miner's Cape,https://wow.zamimg.com/images/wow/icons/medium/inv_misc_cape_11.jpg,back,,,yes
5943,Rift Bracers,https://wow.zamimg.com/images/wow/icons/medium/inv_bracer_03.jpg,wrist,plate,,yes
5967,Girdle of Nobility,https://wow.zamimg.com/images/wow/icons/medium/inv_belt_10.jpg,waist,cloth,,yes
5970,Serpent Gloves,https://wow.zamimg.com/images/wow/icons/medium/inv_gauntlets_19.jpg,hands,cloth,,yes
6220,Meteor Shard,https://wow.zamimg.com/images/wow/icons/medium/inv_weapon_shortblade_25.jpg,main_hand,,,yes
6314,Wolfmaster Cape,https://wow.zamimg.com/images/wow/icons/medium/inv_misc_cape_10.jpg,back,,,yes
6318,Odo's Ley Staff,https://wow.zamimg.com/images/wow/icons/medium/inv_staff_27.jpg,main_hand,,,yes
6319,Girdle of the Blindwatcher,https://wow.zamimg.com/images/wow/icons/medium/inv_belt_03.jpg,waist,leather,,yes
6320,Commander's Crest,https://wow.zamimg.com/images/wow/icons/medium/inv_shield_03.jpg,off_hand,,,yes
6321,Silverlaine's Family Seal,https://wow.zamimg.com/images/wow/icons/medium/inv_belt_29.jpg,ring_1,,,yes
6323,Baron's Scepter,https://wow.zamimg.com/images/wow/icons/medium/inv_mace_02.jpg,main_hand,,,yes
6324,Robes of Arugal,https://wow.zamimg.com/images/wow/icons/medium/inv_chest_cloth_31.jpg,chest,cloth,,yes
6341,Eerie Stable Lantern,https://wow.zamimg.com/images/wow/icons/medium/inv_misc_lantern_01.jpg,off_hand,,,yes
6446,Snakeskin Bag,https://wow.zamimg.com/images/wow/icons/medium/inv_misc_bag_12.jpg,other,,,yes
6447,Worn Turtle Shell Shield,https://wow.zamimg.com/images/wow/icons/medium/inv_shield_21.jpg,off_hand,,,yes
6448,Tail Spike,https://wow.zamimg.com/images/wow/icons/medium/inv_weapon_shortblade_10.jpg,main_hand,,,yes
6449,Glowing Lizardscale Cloak,https://wow.zamimg.com/images/wow/icons/medium/inv_chest_cloth_15.jpg,back,,,yes
6459,Savage Trodders,https://wow.zamimg.com/images/wow/icons/medium/inv_boots_01.jpg,feet,plate,,yes
6460,Cobrahn's Grasp,https://wow.zamimg.com/images/wow/icons/medium/inv_belt_03.jpg,waist,plate,,yes
6461,Slime-Encrusted Pads,https://wow.zamimg.com/images/wow/icons/medium/inv_shoulder_05.jpg,shoulder,cloth,,yes
6463,Deep Fathom Ring,https://wow.zamimg.com/images/wow/icons/medium/inv_jewelry_ring_15.jpg,ring_1,,,yes
6465,Robe of the Moccasin,https://wow.zamimg.com/images/wow/icons/medium/inv_chest_cloth_36.jpg,chest,cloth,,yes
