origin,page_label,slot_key
method,head,head
method,neck,neck
method,shoulders,shoulder
method,shoulder,shoulder
method,back,back
method,cloak,back
method,chest,chest
method,wrists,wrist
method,wrist,wrist
method,hands,hands
method,gloves,hands
method,waist,waist
method,belt,waist
method,legs,legs
method,feet,feet
method,boots,feet
method,ring 1,ring_1
method,ring 2,ring_2
method,ring,
method,trinket 1,trinket_1
method,trinket 2,trinket_2
method,trinket,
method,main hand,main_hand
method,main-hand,main_hand
method,weapon,main_hand
method,off hand,off_hand
method,off-hand,off_hand
method,main hand (2h),main_hand
method,main hand (dw),main_hand
method,one-hand,main_hand
method,one hand,main_hand
method,two-hand weapon,main_hand
method,two hand weapon,main_hand
ugg,head,head
ugg,neck,neck
ugg,shoulder,shoulder
ugg,back,back
ugg,cape,back
ugg,chest,chest
ugg,wrist,wrist
ugg,gloves,hands
ugg,hands,hands
ugg,belt,waist
ugg,waist,waist
ugg,legs,legs
ugg,feet,feet
ugg,ring1,ring_1
ugg,ring2,ring_2
ugg,trinket1,trinket_1
ugg,trinket2,trinket_2
ugg,weapon1,main_hand
ugg,weapon2,off_hand
ugg,main_hand,main_hand
ugg,off_hand,off_hand
wowhead,1,head
wowhead,2,neck
wowhead,3,shoulder
wowhead,5,chest
wowhead,6,waist
wowhead,7,legs
wowhead,8,feet
wowhead,9,wrist
wowhead,10,hands
wowhead,11,ring
wowhead,12,trinket
wowhead,13,main_hand
wowhead,14,off_hand
wowhead,15,main_hand
wowhead,16,back
wowhead,17,main_hand
wowhead,20,chest
wowhead,21,main_hand
wowhead,22,off_hand
wowhead,23,off_hand
icy_veins,helm,head
icy_veins,head,head
icy_veins,neck,neck
icy_veins,shoulders,shoulder
icy_veins,shoulder,shoulder
icy_veins,back,back
icy_veins,cloak,back
icy_veins,chest,chest
icy_veins,wrists,wrist
icy_veins,wrist,wrist
icy_veins,hands,hands
icy_veins,gloves,hands
icy_veins,waist,waist
icy_veins,belt,waist
icy_veins,legs,legs
icy_veins,feet,feet
icy_veins,boots,feet
icy_veins,ring 1,ring_1
icy_veins,ring 2,ring_2
icy_veins,ring,
icy_veins,trinket 1,trinket_1
icy_veins,trinket 2,trinket_2
icy_veins,trinket,
icy_veins,main hand,main_hand
icy_veins,off hand,off_hand
icy_veins,weapon,main_hand
